id,history_item,visit_time,title,load_successful,http_non_get,synthesized,redirect_source,redirect_destination,origin,generation,attributes,score
25502,15275,2023-01-28 17:58:59.745408,lagrimas club madrid - Buscar con Google,1,0,0,,,0,7013,2,0
25503,15276,2023-01-28 17:59:50.448819,lagrimas club madrid - Buscar con Google,1,0,0,,,0,7013,1,0
25504,15277,2023-01-28 17:59:56.482744,lagrimas club madrid - Buscar con Google,1,0,0,,,0,7013,1,0
25505,15278,2023-01-28 18:00:04.507186,lagrimas club madrid - Buscar con Google,1,0,0,,,0,7013,1,0
25506,15278,2023-01-28 18:00:04.528485,lagrimas club madrid - Buscar con Google,1,0,0,,,0,7013,3,0
25507,15278,2023-01-28 18:00:09.752090,lagrimas club madrid - Buscar con Google,1,0,0,,,0,7013,3,0
25508,15277,2023-01-28 18:01:02.270169,lagrimas club madrid - Buscar con Google,1,0,0,,,0,7013,5,0
25509,15279,2023-01-28 18:01:08.950591,lagrimas club madrid - Buscar con Google,1,0,0,,,0,7013,1,0
25510,15279,2023-01-28 18:01:08.963393,lagrimas club madrid - Buscar con Google,1,0,0,,,0,7013,3,0
25511,15277,2023-01-28 18:01:22.416683,lagrimas club madrid - Buscar con Google,1,0,0,,,0,7013,3,0
25512,15280,2023-01-28 18:59:57.692990,No se puede abrir la página,0,0,0,,,0,7015,0,100
25513,15277,2023-01-28 18:59:58.486338,lagrimas club madrid - Buscar con Google,1,0,0,,,0,7015,8,60
25514,15281,2023-01-29 04:09:52.863229,NOVICIADOS 7 - Buscar con Google,1,0,0,,,0,7015,0,100
25515,15281,2023-01-29 04:09:53.668434,NOVICIADOS 7 - Buscar con Google,1,0,0,,,0,7015,2,0
25516,15282,2023-01-29 12:44:47.067303,atocha madrid - Buscar con Google,1,0,0,,,0,7020,0,100
25517,15282,2023-01-29 12:44:48.113739,atocha madrid - Buscar con Google,1,0,0,,,0,7020,3,0
25518,15283,2023-01-29 14:01:25.496528,,1,0,0,,25519.0,0,7021,0,100
25519,15284,2023-01-29 14:01:25.497030,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,25518.0,,0,7021,0,100
25520,15284,2023-01-29 14:01:26.366696,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7021,3,0
25521,15285,2023-01-29 14:02:10.988185,WeTransfer App,1,0,0,,,0,7022,0,100
25522,15286,2023-01-29 14:30:03.982291,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7023,0,100
25523,15286,2023-01-29 14:30:04.560892,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7023,3,0
25524,15287,2023-01-29 14:34:58.081110,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7024,0,100
25525,15287,2023-01-29 14:34:58.584056,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7024,3,0
25526,15287,2023-01-29 14:36:14.120062,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7025,5,0
25527,15288,2023-01-29 14:47:54.737438,retrasos ouigo - Buscar con Google,1,0,0,,,0,7032,0,100
25528,15288,2023-01-29 14:47:55.544631,retrasos ouigo - Buscar con Google,1,0,0,,,0,7032,3,0
25529,15289,2023-01-29 14:48:28.022797,FAQ - Preguntas frecuentes,1,0,0,,,0,7033,0,100
25530,15290,2023-01-29 14:59:32.548898,Retrasos,1,0,0,,,0,7033,1,0
25531,15291,2023-01-29 14:59:39.946337,Retraso del tren: devolución e indemnización | OUIGO,1,0,0,,,0,7033,1,0
25532,15292,2023-01-29 15:00:24.358264,OUIGO España,1,0,0,,,0,7033,0,100
25533,15287,2023-01-29 19:39:20.852196,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7034,0,100
25534,15287,2023-01-29 19:39:21.444526,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7034,3,0
25535,15286,2023-01-29 19:41:24.488060,WeTransfer - Send Large Files & Share Photos Online - Up to 2GB Free,1,0,0,,,0,7036,0,100
